연번,시위일자,호선,역명,,,,*6/30 (퇴근길이라 삭제)
358,2022-08-26,4,회현(남대문시장),,,,
359,2022-08-26,4,명동,,,,
360,2022-08-26,4,충무로,,,,
361,2022-08-26,4,동대문역사문화공원(DDP),,,,
362,2022-08-26,4,동대문,,,,
363,2022-08-26,4,혜화,,,,
364,2022-08-30,4,삼각지,,,,
365,2022-08-30,4,숙대입구(갈월),,,,
366,2022-08-30,4,서울역,,,,
367,2022-08-30,4,회현(남대문시장),,,,
368,2022-08-30,4,명동,,,,
369,2022-08-30,4,충무로,,,,
370,2022-08-30,4,동대문역사문화공원(DDP),,,,
371,2022-08-30,4,동대문,,,,
372,2022-08-30,4,혜화,,,,
373,2022-08-31,4,삼각지,,,,
374,2022-08-31,4,숙대입구(갈월),,,,
375,2022-08-31,4,서울역,,,,
376,2022-08-31,4,회현(남대문시장),,,,
377,2022-08-31,4,명동,,,,
378,2022-08-31,4,충무로,,,,
379,2022-08-31,4,동대문역사문화공원(DDP),,,,
380,2022-08-31,4,동대문,,,,
381,2022-08-31,4,혜화,,,,
