수송일자,호선,역명,07-10시간대
2022-06-25,4,명동,772
2022-06-25,4,회현(남대문시장),682
2022-06-25,4,서울역,918
2022-06-25,4,숙대입구(갈월),1213
2022-06-25,4,삼각지,390
2022-06-25,4,신용산,914
2022-06-25,4,이촌(국립중앙박물관),668
2022-06-25,4,동작(현충원),212
2022-06-25,4,총신대입구(이수),2378
2022-06-25,4,사당,3412
2022-06-25,4,남태령,296
2022-06-26,4,당고개,1045
2022-06-26,4,상계,1911
2022-06-26,4,노원,1704
2022-06-26,4,창동,2270
2022-06-26,4,쌍문,3332
2022-06-26,4,수유(강북구청),3707
2022-06-26,4,미아(서울사이버대학),1550
2022-06-26,4,미아사거리,2772
2022-06-26,4,길음,1920
2022-06-26,4,성신여대입구(돈암),1397
2022-06-26,4,한성대입구(삼선교),1071
2022-06-26,4,혜화,925
2022-06-26,4,동대문,299
2022-06-26,4,동대문역사문화공원(DDP),480
2022-06-26,4,충무로,638
2022-06-26,4,명동,658
2022-06-26,4,회현(남대문시장),392
2022-06-26,4,서울역,582
2022-06-26,4,숙대입구(갈월),832
2022-06-26,4,삼각지,248
2022-06-26,4,신용산,502
2022-06-26,4,이촌(국립중앙박물관),385
2022-06-26,4,동작(현충원),122
2022-06-26,4,총신대입구(이수),1566
2022-06-26,4,사당,2157
2022-06-26,4,남태령,169
2022-06-27,4,당고개,3916
2022-06-27,4,상계,8126
2022-06-27,4,노원,5417
2022-06-27,4,창동,8914
2022-06-27,4,쌍문,12597
2022-06-27,4,수유(강북구청),11642
2022-06-27,4,미아(서울사이버대학),4895
2022-06-27,4,미아사거리,9782
2022-06-27,4,길음,8677
2022-06-27,4,성신여대입구(돈암),5062
2022-06-27,4,한성대입구(삼선교),3565
2022-06-27,4,혜화,2470
2022-06-27,4,동대문,989
2022-06-27,4,동대문역사문화공원(DDP),918
2022-06-27,4,충무로,1325
2022-06-27,4,명동,809
2022-06-27,4,회현(남대문시장),768
2022-06-27,4,서울역,1572
2022-06-27,4,숙대입구(갈월),2408
2022-06-27,4,삼각지,992
2022-06-27,4,신용산,1677
2022-06-27,4,이촌(국립중앙박물관),1628
2022-06-27,4,동작(현충원),333
2022-06-27,4,총신대입구(이수),5742
2022-06-27,4,사당,9529
2022-06-27,4,남태령,325
2022-06-28,4,당고개,3967
2022-06-28,4,상계,8495
2022-06-28,4,노원,5866
2022-06-28,4,창동,9130
2022-06-28,4,쌍문,13362
2022-06-28,4,수유(강북구청),12652
2022-06-28,4,미아(서울사이버대학),5352
2022-06-28,4,미아사거리,10532
2022-06-28,4,길음,9539
2022-06-28,4,성신여대입구(돈암),5598
2022-06-28,4,한성대입구(삼선교),3859
2022-06-28,4,혜화,2504
2022-06-28,4,동대문,953
2022-06-28,4,동대문역사문화공원(DDP),959
2022-06-28,4,충무로,1488
2022-06-28,4,명동,917
2022-06-28,4,회현(남대문시장),839
2022-06-28,4,서울역,1636
2022-06-28,4,숙대입구(갈월),2512
2022-06-28,4,삼각지,1058
2022-06-28,4,신용산,1708
2022-06-28,4,이촌(국립중앙박물관),1735
2022-06-28,4,동작(현충원),303
2022-06-28,4,총신대입구(이수),6053
2022-06-28,4,사당,9775
2022-06-28,4,남태령,310
